Filename,ROI,Date,DOY,Red_Avg,Green_Avg,Blue_Avg,Red_SD,Green_SD,Blue_SD,Brightness_Avg,Brightness_SD,Green_Index,Green_Index_SD,Greenness_Excess_index,Greenness_Excess_index_SD,Red_index,Red_Index_SD,Blue_Index,Blue_Index_SD,plant
rightmarsh3_05_10_19_1200,1,5/10/2019 12:00,130,72.11730205,64.45107971,44.67262063,9.10171247,6.763052035,7.364454778,181.2410024,22.32314275,0.35673847,0.017043843,12.11223674,8.247532938,0.397999736,0.014300341,0.245261794,0.011604471,mixed
rightmarsh3_05_10_19_1200,2,5/10/2019 12:00,130,59.99695637,50.4280239,34.43783114,14.54954184,11.06311601,11.23683478,144.8628114,35.89506195,0.351814461,0.026468371,6.421260286,8.026764349,0.415037034,0.031702158,0.233148505,0.023412964,c3
estuary_04_04_19_1200,1,4/4/2019 12:00,94,102.7564058,80.0989821,57.32379782,32.16708041,26.42922255,19.66800806,240.1791857,77.76269024,0.33269381,0.005020335,0.117760618,2.871295191,0.429233256,0.017323735,0.238072934,0.01740412,mixed
estuary_04_04_19_1200,2,4/4/2019 12:00,94,198.8993096,159.6681259,102.6636639,24.98146416,24.06401218,21.6732945,461.2310995,70.41293223,0.346302426,0.003079392,17.77327833,4.024368378,0.433426112,0.01562717,0.220271462,0.017141151,phragmites
estuary_04_25_19_1200,1,4/25/2019 12:00,115,63.09089073,54.72086447,39.59907089,11.71024846,10.17154115,8.004432556,157.4108261,29.05520479,0.34773964,0.012700145,6.75176732,5.223913971,0.401003251,0.01582346,0.251257109,0.017968672,mixed
estuary_04_25_19_1200,2,4/25/2019 12:00,115,104.1206259,86.90648947,58.70660736,19.41502699,16.7256467,15.2982368,249.7337227,51.06874392,0.349308123,0.009498621,10.98574567,4.187565221,0.41922419,0.017017267,0.231467687,0.021915027,phragmites
estuary_04_30_19_1200,1,4/30/2019 12:00,120,79.52720028,69.95495495,50.06496881,17.66874349,14.92658804,12.58167313,199.547124,44.37004369,0.351781109,0.015545854,10.31774082,7.004037048,0.398711043,0.016901671,0.249507848,0.018435114,mixed
estuary_04_30_19_1200,2,4/30/2019 12:00,120,142.776709,121.9208597,81.47785996,41.09922673,35.25647663,31.46100909,346.1754287,107.0382826,0.35562938,0.015560832,19.58715049,7.574240627,0.41733932,0.026982667,0.2270313,0.035951117,phragmites
estuary_05_01_19_1200,1,5/1/2019 12:00,121,70.17362502,63.10244955,45.82052072,19.96136223,16.97976168,12.57285644,179.0965953,48.60403268,0.353122949,0.017972209,10.21075335,8.082278064,0.390047804,0.01990948,0.256829248,0.022976138,mixed
estuary_05_01_19_1200,2,5/1/2019 12:00,121,146.1453332,125.3903775,84.02550055,34.87692041,29.6552636,26.17592152,355.5612113,90.03604143,0.35474926,0.01105544,20.60992131,6.282678679,0.413707877,0.019314839,0.231542863,0.025283755,phragmites
estuary_05_07_19_1200,1,5/7/2019 12:00,127,44.73246606,45.35986991,33.50346437,15.94232706,14.17798365,11.96823978,123.5958003,41.52153552,0.370497001,0.02331982,12.48380939,6.337623651,0.359778176,0.018183233,0.269724822,0.025194085,mixed
estuary_05_07_19_1200,2,5/7/2019 12:00,127,62.07020453,62.24543947,44.05997789,24.12224745,19.84636909,17.87747431,168.3756219,61.62461953,0.37737204,0.026208836,18.36069652,5.368589748,0.365344762,0.017042831,0.257283198,0.019251686,phragmites
estuary_05_10_19_1200,1,5/10/2019 12:00,130,87.34378576,83.51567864,59.02792401,15.5120746,14.48934793,12.76245166,229.8873884,42.02249146,0.364269779,0.014229243,20.65964752,8.638959159,0.380503024,0.011665014,0.255227197,0.014885903,mixed
