"","X.1","X","Filename","ROI","DOY","Red_Avg","Green_Avg","Blue_Avg","Red_SD","Green_SD","Blue_SD","Brightness_Avg","Brightness_SD","Green_Index","Green_Index_SD","Greenness_Excess_index","Greenness_Excess_index_SD","Red_index","Red_Index_SD","Blue_Index","Blue_Index_SD","plant","Date2","location1","location2","plant2","Major_Plant_1","Major_Plant_2","Minor_Plant_1","Minor_Plant_2"
"33",33,33,"centermarsh_10_09_17_1200",1,282,47.793201806513,34.0262657475636,24.127941526028,9.26855563871197,6.87412567270656,6.28407531282521,105.947409080105,22.2696117362636,0.321882978220775,0.00888175341248197,-3.86861183741383,2.97608882581578,0.45278547573016,0.0127060447294285,0.225331546049065,0.0142047074470379,"c3","2017-10-09 12:00:00","centermarsh","centermarsh","scheonoplectus","scheonoplectus","","",""
"34",34,34,"centermarsh_10_09_17_1200",2,282,48.6778213385606,35.9441332959955,23.2514701764212,7.60513453296736,5.47802716031258,4.88885513939919,107.873424810977,17.6574620202048,0.333936929217851,0.011706380869817,-0.0410249229907588,3.68856538391997,0.452006433636586,0.0137172868274684,0.214056637145563,0.0125956864821738,"c3","2017-10-09 12:00:00","centermarsh","centermarsh","scheonoplectus","scheonoplectus","","",""
"35",35,35,"centermarsh_10_12_17_1200",1,285,64.641939606966,49.2641636044097,33.982409330564,8.8256336995586,7.47034839948021,8.01860547244632,147.88851254194,24.0448807460381,0.333947403391065,0.0103107784424677,-0.0960217287106567,4.03117179710576,0.439191338641118,0.0162453343840114,0.226861257967817,0.0199481714052534,"c3","2017-10-12 12:00:00","centermarsh","centermarsh","scheonoplectus","scheonoplectus","","",""
"36",36,36,"centermarsh_10_13_17_1200",1,286,85.9839719736436,67.0497903468806,45.1710079686337,33.3299404585741,32.4358020801331,30.4206546081968,198.204770289158,95.6785493537215,0.337607756678107,0.0184714420213369,2.94460075148391,8.12953412757984,0.454519813737555,0.0559149098677391,0.207872429584337,0.0535265123549928,"c3","2017-10-13 12:00:00","centermarsh","centermarsh","scheonoplectus","scheonoplectus","","",""
"37",37,37,"centermarsh_10_13_17_1200",2,286,95.0560929869841,75.9433314146722,49.6824739588169,19.0254287840454,14.9127009084881,15.3970083432913,220.681898360473,48.7629369237542,0.346687219047387,0.0173394437569908,7.14809588354346,9.03840216336287,0.433549785910936,0.0208906606321644,0.219762995041678,0.0268198090045687,"c3","2017-10-13 12:00:00","centermarsh","centermarsh","scheonoplectus","scheonoplectus","","",""
"38",38,38,"centermarsh_10_20_17_1200",1,293,37.3611886717192,30.9483731266739,29.9016468174825,44.4887955964027,32.4140794870963,20.0608531476461,98.2112086158755,96.6167465705751,0.306628755992808,0.0163845617102188,-5.3660892358539,3.77172641468912,0.340074749956215,0.0569980857276047,0.353296494050977,0.0640111432108304,"c3","2017-10-20 12:00:00","centermarsh","centermarsh","scheonoplectus","scheonoplectus","","",""
"39",39,39,"centermarsh_10_25_17_1200",1,298,115.35011645011,88.7293760725668,59.6015261093405,16.4215081129758,15.5149986302977,15.7188625719712,263.681018632018,47.321354760565,0.336856643377812,0.00473249662626679,2.50710958568277,3.17647391513695,0.440526245039593,0.0194577713852846,0.222617111582595,0.0216594470904935,"c3","2017-10-25 12:00:00","centermarsh","centermarsh","scheonoplectus","scheonoplectus","","",""
"40",40,40,"centermarsh_10_25_17_1200",2,298,96.8378378378378,73.2112654128783,42.5957155311994,27.1301712509381,24.3298493903755,21.644916402126,212.644818781916,72.2164389680563,0.345293286225598,0.0102950348377345,6.98897745671939,4.8857031131183,0.465957201318506,0.0412669016755537,0.188749512455896,0.0443751679824881,"c3","2017-10-25 12:00:00","centermarsh","centermarsh","scheonoplectus","scheonoplectus","","",""
"41",41,41,"centermarsh_10_27_17_1200",1,300,138.772731316366,101.717842961238,64.1944666844587,33.7107231185856,28.5825289462461,25.5406066249406,304.685040962063,86.7739278618476,0.334180521612865,0.00923381414749945,0.468487921650451,6.71679667454804,0.463251607641341,0.0351324540628184,0.202567870745794,0.0365517481317273,"c3","2017-10-27 12:00:00","centermarsh","centermarsh","scheonoplectus","scheonoplectus","","",""
"42",42,42,"centermarsh_10_27_17_1200",2,300,160.560334338465,123.078929270486,90.3786171507168,19.8693235661443,17.0893267029919,15.7858600754765,374.017880759668,52.274618101084,0.329162546148495,0.00484115292286316,-4.78109294820928,5.15177619251535,0.430457411932803,0.0113341027972959,0.240380041918702,0.0117886332598424,"c3","2017-10-27 12:00:00","centermarsh","centermarsh","scheonoplectus","scheonoplectus","","",""
"43",43,43,"centermarsh_10_30_17_1200",1,303,139.728338108883,101.583753581662,64.2904441260745,32.8360948568657,27.3769007978619,25.2276237086103,305.602535816619,84.8556256295326,0.333503575887788,0.00996358069717162,-0.851275071633237,6.80755672034212,0.463978816541461,0.0306590906912043,0.202517607570751,0.033294873529154,"c3","2017-10-30 12:00:00","centermarsh","centermarsh","scheonoplectus","scheonoplectus","","",""
